"","Instrument","Company.Common.Name","Deal.Permid","Loan.Dates..Announcement.Date","Loan.Dates..Financial.Close.Date.of.Loan.Package","Maturity..Maturity.Date","Loan.Type","Use.of.Proceeds","Loan.Repayment..Type","Loans.Issuer.Borrower.Ultimate.Parent.Name.Full","Loan.Package.Amount","Number.of.all.Managers..inc..Int.l.Co.Managers","All.Managers..inc..Int.l.Co.Managers..Parent..Full.Name.","All.Managers..inc..Int.l.Co.Managers..Parent..Code.","All.Loans.Manager.Roles","Loan.Manager.Commitment.Amount"
"75",4296555324,"Cargill Inc",154083534587,"2007-11-02","2007-11-02","2008-10-31","364 Day Revolver","Acquisition Finance",NA,"Cargill Inc",1.5e+09,14,"Commerzbank AG","COMMERZBANK","Lead Manager",107142857.142857
"76",4296555324,"Cargill Inc",154083542243,"2009-07-23","2009-07-23","2012-07-23","Revolving Credit Facility","Refinancing",NA,"BlueScope Steel Ltd",7.5e+07,2,"Commerzbank AG","COMMERZBANK","Lead Manager",37500000
"77",4296555324,"Cargill Inc",154083544596,"2009-07-24","2009-07-29","2012-08-07","Revolving Credit Facility","Refinancing",NA,"Cargill Inc",5e+08,17,"Mizuho Financial Group","MIZUHO-FINAN","Lead Manager",29411764.7058824
"78",4296555324,"Cargill Inc",154083552000,"2011-04-26","2011-04-26","2016-04-26","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",7.5e+08,14,"NIBC NV","NIBC","Lead Manager",53571428.5714286
"79",4296555324,"Cargill Inc",154083555713,"2006-11-02","2006-12-01","2010-02-18","Revolving Credit Facility","Refinance/Retiring Fixed Income Debt","Bullet","Cargill Inc",1.462e+09,8,"Mizuho Financial Group","MIZUHO-FINAN","Lead Manager",182750000
"80",4296555324,"Cargill Inc",154083557250,"2013-01-15","2013-01-15","2018-01-15","Term Loan","Refinance/Retiring Acquisition Debt",NA,"Cargill Inc",1.2e+08,2,"NatWest","NATWEST-GRP","Arranger",6e+07
"81",4296555324,"Cargill Inc",154083558210,"2012-07-16","2012-07-16","2013-07-16","Revolving Credit Facility","Pay Fees And Expenses",NA,"Cargill Inc",2.5e+08,16,"Barclays","BARCLAYS-CAP","Arranger",15625000
"82",4296555324,"Cargill Inc",154083559040,"2012-09-29","2012-10-26","2013-10-25","364 Day Revolver","General Corporate Purpose",NA,"Cargill Inc",5e+09,4,"CIBC World Markets Inc","CIBC-WORLD","Arranger",1.25e+09
"83",4296555324,"Cargill Inc",154083559041,"2012-09-29","2012-10-26","2017-10-25","Revolving Credit Facility","Refinance/Retiring Fixed Income Debt",NA,"Cargill Inc",5e+09,22,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Arranger",227272727.272727
"84",4296555324,"Cargill Inc",154083570712,"2013-10-24","2013-10-24","2018-10-24","Revolving Credit Facility","Refinance/Retiring Acquisition Debt",NA,"Cargill Inc",5e+09,10,"Sumitomo Mitsui Financial Group Inc","SUM-MIT-FIN-GRP","Arranger",5e+08
