investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
"Harbour Investments, Inc",AGCO Corp,165,2.00E-04,18796.8
Harris (Ivory Marie),AGCO Corp,16007,0.0221,1823517.44
"Hemington Wealth Management, LLC",AGCO Corp,151,2.00E-04,17201.92
"Heritage Wealth Advisors, LLC",AGCO Corp,164,2.00E-04,18682.88
Hermes Investment Management Ltd.,AGCO Corp,15050,0.0208,1714496
Highline Wealth Partners LLC,AGCO Corp,16,0,1822.72
"Hightower Advisors, LLC",AGCO Corp,10500,0.0145,1196160
Hill Investment Group Partners LLC,AGCO Corp,2439,0.0034,277850.88
"Hodges Capital Management, Inc.",AGCO Corp,2250,0.0031,256320
"Horizon Investments, LLC",AGCO Corp,1243,0.0017,141602.56
"Hotchkis and Wiley Capital Management, LLC",AGCO Corp,19821,0.0274,2258008.32
"Howe and Rusling, Inc.",AGCO Corp,2607,0.0036,296989.44
"Hughes Financial Services, LLC",AGCO Corp,1,0,113.92
Huntington Private Financial Group,AGCO Corp,90,1.00E-04,10252.8
"IMA Wealth, Inc.",AGCO Corp,2,0,227.84
INTECH Investment Management LLC,AGCO Corp,19996,0.0276,2277944.32
"INTRUST Bank, N.A.",AGCO Corp,1902,0.0026,216675.84
ISAM Funds (UK) Ltd,AGCO Corp,4129,0.0057,470375.68
Illinois Municipal Retirement Fund,AGCO Corp,18820,0.026,2143974.4
Impax Asset Management LLC,AGCO Corp,15988,0.0221,1821352.96
Impax Asset Management Ltd.,AGCO Corp,112652,0.1556,12833315.84
Independent Financial Partners,AGCO Corp,412,6.00E-04,46935.04
IndexIQ Advisors LLC,AGCO Corp,8021,0.0111,913752.32
"Innealta Capital, LLC",AGCO Corp,211,3.00E-04,24037.12
"Inscription Capital, LLC",AGCO Corp,3685,0.0051,419795.2
Inspire Investing,AGCO Corp,3487,0.0048,397239.04
"Intentional Wealth Strategies, LLC",AGCO Corp,20,0,2278.4
Invesco,AGCO Corp,2171333,2.9987,247358255.4
"Iron Horse Wealth Management, LLC",AGCO Corp,13,0,1480.96
"Isthmus Partners, LLC",AGCO Corp,3072,0.0042,349962.24
"J.P. Morgan Investment Management, Inc. (SI)",AGCO Corp,2681,0.0037,305419.52
J.P. Morgan Private Investments Inc. (JPMPI),AGCO Corp,27506,0.038,3133483.52
J.P. Morgan Securities LLC,AGCO Corp,9919,0.0137,1129972.48
"JFS Wealth Advisors, LLC",AGCO Corp,46,1.00E-04,5240.32
"JGP Wealth Management, L.L.C.",AGCO Corp,3600,0.005,410112
JP Morgan Asset Management,AGCO Corp,118398,0.1635,13487900.16
JPMorgan,AGCO Corp,204748,0.2828,23324892.16
"Jade Capital Advisors, LLC",AGCO Corp,10000,0.0138,1139200
"Jane Street Capital, L.L.C.",AGCO Corp,89814,0.124,10231610.88
Janney Montgomery Scott LLC,AGCO Corp,2294,0.0032,261332.48
Janus Henderson Investors,AGCO Corp,29180,0.0403,3324185.6
Jennison Associates LLC,AGCO Corp,1272,0.0018,144906.24
"John G. Ullman & Associates, Inc.",AGCO Corp,4100,0.0057,467072
Johnson Financial Group Inc.,AGCO Corp,89,1.00E-04,10138.88
Jordan Park Group LLC,AGCO Corp,7503,0.0104,854741.76
"Julius Baer Gestión, S.G.I.I.C., S.A.",AGCO Corp,1873,0.0026,213372.16
Jupiter Asset Management Ltd.,AGCO Corp,35801,0.0494,4078449.92
"KB Asset Management Co., Ltd.",AGCO Corp,867,0.0012,98768.64
KBC Group NV,AGCO Corp,8501,0.0117,968433.92
KLP Kapitalforvaltning AS,AGCO Corp,14400,0.0199,1640448
"Keating Financial Advisory Services, Inc.",AGCO Corp,37,1.00E-04,4215.04
Kentucky Teachers' Retirement System,AGCO Corp,18435,0.0255,2100115.2
"Kera Capital Partners, Inc.",AGCO Corp,2989,0.0041,340506.88
Keyridge Asset Management Limited,AGCO Corp,34747,0.048,3958378.24
Kilter Group LLC,AGCO Corp,14,0,1594.88
"L2 Asset Management, LLC",AGCO Corp,334,5.00E-04,38049.28
LPL Financial LLC,AGCO Corp,29679,0.041,3381031.68
"LRI Investments, LLC",AGCO Corp,408,6.00E-04,46479.36
LSV Asset Management,AGCO Corp,1889732,2.6098,215278269.4
Larson Financial Group LLC,AGCO Corp,366,5.00E-04,41694.72
"Lazard Asset Management, L.L.C.",AGCO Corp,22729,0.0314,2589287.68
Legal & General,AGCO Corp,97494,0.1347,11106516.48
Leonteq Securities AG,AGCO Corp,309,4.00E-04,35201.28
"Level Four Advisory Services, LLC",AGCO Corp,66879,0.0924,7618855.68
"Lindbrook Capital, LLC",AGCO Corp,185,3.00E-04,21075.2
"Linden Thomas Advisory Services, LLC",AGCO Corp,2241,0.0031,255294.72
Lombard Odier Asset Management (Europe) Ltd,AGCO Corp,4691,0.0065,534398.72
"Longboard Asset Management, LP",AGCO Corp,652,9.00E-04,74275.84
"Lord, Abbett & Co. LLC",AGCO Corp,407500,0.5628,46422400
Los Angeles Capital Management LLC,AGCO Corp,299,4.00E-04,34062.08
Louisiana State Employees' Retirement System,AGCO Corp,17400,0.024,1982208
M&R Capital Management Inc.,AGCO Corp,18,0,2050.56
MAC Alpha Capital Management LP,AGCO Corp,28223,0.039,3215164.16
"MAI Capital Management, LLC",AGCO Corp,1093,0.0015,124514.56
MFS Investment Management,AGCO Corp,2770659,3.8264,315633473.3
MFS Investment Management Canada Limited,AGCO Corp,92597,0.1279,10548650.24
MLC Asset Management,AGCO Corp,495,7.00E-04,56390.4
MQS Management LLC,AGCO Corp,2665,0.0037,303596.8
"MV Capital Management, Inc.",AGCO Corp,4,0,455.68
MW Gestion S.A.,AGCO Corp,596,8.00E-04,67896.32
Mackenzie Financial Corporation,AGCO Corp,898898,1.2414,102402460.2
Magnetar Capital Partners LP,AGCO Corp,7903,0.0109,900309.76
MainStreet Advisors,AGCO Corp,49332,0.0681,5619901.44
Managed Account Advisors LLC,AGCO Corp,410064,0.5663,46714490.88
Manchester Capital Management LLC,AGCO Corp,281,4.00E-04,32011.52
Manulife Investment Management (North America) Limited,AGCO Corp,126234,0.1743,14380577.28
Manzil Investment Advisors LLC,AGCO Corp,35,0,3987.2
Marble Trail Advisors,AGCO Corp,850,0.0012,96832
"Marco Investment Management, L.L.C.",AGCO Corp,13100,0.0181,1492352
Mariner Wealth Advisors,AGCO Corp,15220,0.021,1733862.4
Marshall Wace LLP,AGCO Corp,5900,0.0081,672128
Maryland State Retirement & Pension System,AGCO Corp,2908,0.004,331279.36
"Mason Street Advisors, LLC",AGCO Corp,27945,0.0386,3183494.4
"Mattson Financial Services, LLC",AGCO Corp,1840,0.0025,209612.8
"Maverick Capital, Ltd.",AGCO Corp,9653,0.0133,1099669.76
Mediolanum International Funds Limited,AGCO Corp,5815,0.008,662444.8
Mellon Investments Corporation,AGCO Corp,399183,0.5513,45474927.36
"Mercer Global Advisors, Inc.",AGCO Corp,13597,0.0188,1548970.24
Mercer Global Investments Management Ltd,AGCO Corp,39109,0.054,4455297.28
"Merit Financial Group, LLC",AGCO Corp,2291,0.0032,260990.72
"MetLife Investment Management, LLC",AGCO Corp,29592,0.0409,3371120.64
Metropolitan Life Insurance Co. (US),AGCO Corp,22327,0.0308,2543491.84
Michigan Department of Treasury,AGCO Corp,14458,0.02,1647055.36
Millennium Management LLC,AGCO Corp,49260,0.068,5611699.2
Miller Capital Partners,AGCO Corp,106,1.00E-04,12075.52
Millwood (Timothy),AGCO Corp,6154,0.0085,701063.68
Mirabella Financial Services LLP,AGCO Corp,2052,0.0028,233763.84
Mirae Asset Global Investments (USA) LLC,AGCO Corp,6887,0.0095,784567.04
